CAS Reg No (or other ID),Substance,Other Names,Used for (Technical Effect),Reg col01,Reg col02,Reg col03,Reg col04,Reg col05,Reg col06,Reg add01,Reg add02,Reg add03,Reg add04,Reg add05,Reg add06,Reg add07,Reg add08,Reg add09,Reg add10,Reg add11,Reg add12,Reg add13,Reg add14,Reg add16,Reg add17,Reg add18,Reg add19,Reg add20,Reg prohibited189,Reg Administrative,regs Labeling & Standards ,FEMA No,GRAS Pub No,Most Recent GRAS Pub Update,FEMA status,JECFA Flavor Number
 121-32-4, ETHYL VANILLIN," &diams; ETHYL VANILLIN<br />&diams; 3-ETHOXY-4-HYDROXYBENZALDEHYDE<br />&diams; BOURBONAL<br />&diams; 3-ETHOXYPROTOCATECHUALDEHYDE<br />&diams; ETHYL PROTAL<br />&diams; ETHYLPROTOCATECHUALDEHYDE-3-ETHYL ETHER<br />&diams; BENZALDEHYDE, 3-ETHOXY-4-HYDROXY-<br />&diams; 2-ETHOXY-4-FORMYLPHENOL<br />&diams; VANILLIN,  ETHYL"," FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT",,,,,,,182.6,182.9,,,,,,,,,,,,,,,,,,,,,2464,3,,,893
 102-71-6, TRIETHANOLAMINE," &diams; TRIETHANOLAMINE<br />&diams; TROLAMINE<br />&diams; ETHANOL, 2,2',2''-NITRILOTRIS-<br />&diams; 2,2',2''-NITRILOTRIS(ETHANOL)<br />&diams; ETHANOL, 2,2',2''-NITRILOTRI-<br />&diams; 2,2',2''-NITRILOTRIETHANOL<br />&diams; NITRILOTRIETHANOL<br />&diams; TRIS(BETA-HYDROXYETHYL)AMINE<br />&diams; TRIS(2-HYDROXYETHYL)AMINE", MALTING OR FERMENTING AID,,,,,,,173.315,175.105,175.3,175.38,175.39,176.17,176.18,176.2,176.21,177.12,177.121,177.168,177.226,177.26,178.391,,,,,,,,,,,,
 99-50-3," 3,4-DIHYDROXYBENZOIC ACID"," &diams; PROTOCATECHUIC ACID<br />&diams; BENZOIC ACID, 3,4-DIHYDROXY-<br />&diams; 3,4-DIHYDROXYBENZOIC ACID<br />&diams; InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)<br />&diams; InChIKey: YQUVCSBJEUQKSH-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4430,24,,,
 7217-59-6, 2-MERCAPTOANISOLE," &diams; 2-METHOXYBENZENETHIOL<br />&diams; 2-methoxythiophenol<br />&diams; benzenethiol, 2-methoxy-<br />&diams; benzenethiol, o-methoxy-<br />&diams; methoxybenzenethiol, o-<br />&diams; 2-mercaptoanisole<br />&diams; InChI=1S/C7H8OS/c1-8-6-4-2-3-5-7(6)9/h2-5,9H,1H3<br />&diams; InChIKey: DSCJETUEDFKYGN-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4159,22,,,1666
 107-95-9, BETA-ALANINE," &diams; ALANINE, BETA-<br />&diams; BETA-AMINOPROPIONIC ACID<br />&diams; 3-AMINOPROPANOIC ACID<br />&diams; BETA-ALANINE<br />&diams; 2-CARBOXYETHYLAMINE<br />&diams; 3-AMINOPROPIONIC ACID"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3252,5,,,1418
 520-45-6, DEHYDROACETIC ACID," &diams; DEHYDROACETIC ACID<br />&diams; DHAA<br />&diams; 2H-PYRAN-2,4(3H)-DIONE, 3-ACETYL-6-METHYL-<br />&diams; 3-ACETYL-6-METHYL-2H-PYRAN-2,4(3H)-DIONE<br />&diams; 2H-PYRAN-2-ONE, 3-ACETYL-4-HYDROXY-6-METHYL-<br />&diams; 3-ACETYL-4-HYDROXY-6-METHYL-2H-PYRAN-2-ONE<br />&diams; SORBIC ACID, 2-ACETYL-3,5-DIHYDROXY-, DELTA-LACTONE<br />&diams; 2-ACETYL-3,5-DIHYDROXYSORBIC ACID DELTA-LACTONE", ANTIMICROBIAL AGENT,,,,,,,172.13,175.105,,,,,,,,,,,,,,,,,,,,,,,,,
 80-56-8, ALPHA-PINENE," &diams; ALPHA-PINENE<br />&diams; 2-PINENE<br />&diams; 2,6,6-TRIMETHYLBICYCLO(3.1.1)HEPT-2-ENE<br />&diams; BICYCLO(3.1.1)HEPT-2-ENE, 2,6,6-TRIMETHYL-<br />&diams; alpha-pinene, (+/-)-<br />&diams; 2-pinene, (+/-)-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,175.3,175.32,,,,,,,,,,,,,,,,,,,,2902,3,25.0,,1329
 60-24-2, 2-MERCAPTOETHANOL," &diams; 2-MERCAPTOETHANOL<br />&diams; MERCAPTOETHANOL<br />&diams; 2-THIOETHANOL<br />&diams; ETHANOL, 2-MERCAPTO-<br />&diams; BETA-MERCAPTOETHANOL<br />&diams; 2-HYDROXY-1-ETHANETHIOL<br />&diams; MONOTHIOETHYLENE GLYCOL", FLAVORING AGENT OR ADJUVANT,,,,,,,177.102,177.103,178.201,,,,,,,,,,,,,,,,,,,,4582,24,,,1925
 127-41-3, ALPHA-IONONE," &diams; IONONE, ALPHA-<br />&diams; 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-3-BUTEN-2-ONE, (E)-<br />&diams; CYCLOCITRYLIDENEACETONE, ALPHA-<br />&diams; 3-BUTEN-2-ONE, 4-(2,6,6-TRIMETHYL-2-CYCLOHEXEN-1-YL)-, (E)-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2594,3,,,388
 56-89-3, L-CYSTINE," &diams; CYSTINE, L-<br />&diams; L-CYSTINE<br />&diams; BETA,BETA'-DITHIOALANINE, L-<br />&diams; CYSTINE, (-)-<br />&diams; 3,3'-DITHIOBIS(2-AMINOPROPANOIC ACID), (R-(R*,R*))-"," DOUGH STRENGTHENER,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT",,,,,,,172.32,,,,,,,,,,,,,,,,,,,,,,,,,,
 516-06-3, DL-VALINE," &diams; VALINE, DL-<br />&diams; ALPHA-AMINOISOVALERIC ACID, DL-<br />&diams; 2-AMINO-3-METHYLBUTANOIC ACID, DL-<br />&diams; 2-AMINOISOVALERIC ACID, DL-<br />&diams; 2-AMINO-3-METHYLBUTYRIC ACID, DL-<br />&diams; DL-VALINE<br />&diams; VALINE, (+-)-<br />&diams; VALINE, (RS)-"," FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3444,8,13.0,,1426
 73-22-3, L-TRYPTOPHAN," &diams; TRYPTOPHAN, L-<br />&diams; TRYPTOPHANE, L-<br />&diams; ALPHA-AMINO-3-INDOLEPROPIONIC ACID, L-<br />&diams; L-TRP", NUTRIENT SUPPLEMENT,,,,,,,172.32,,,,,,,,,,,,,,,,,,,,,,,,,,
 1193-79-9, 2-ACETYL-5-METHYLFURAN," &diams; 2-ACETYL-5-METHYLFURAN<br />&diams; ETHANONE, 1-(5-METHYL-2-FURANYL)-<br />&diams; METHYL 5-METHYL-2-FURYL KETONE<br />&diams; KETONE, METHYL 5-METHYL-2-FURYL<br />&diams; 1-(5-METHYL-2-FURYL)ETHANONE<br />&diams; 1-(5-METHYL-2-FURANYL)ETHANONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3609,12,25.0,,1504
 143-07-7, LAURIC ACID, &diams; LAURIC ACID<br />&diams; DODECANOIC ACID<br />&diams; C12 FATTY ACID<br />&diams; LAUROSTEARIC ACID<br />&diams; DODECOIC ACID<br />&diams; 1-UNDECANECARBOXYLIC ACID<br />&diams; NSC-5026," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT",,,,,,,172.21,172.86,173.34,,,,,,,,,,,,,,,,,,,,2614,3,25.0,,111
 111-31-9, 1-HEXANETHIOL," &diams; 1-HEXANETHIOL<br />&diams; HEXANETHIOL<br />&diams; HEXYL MERCAPTAN<br />&diams; 1-MERCAPTOHEXANE<br />&diams; InChI=1S/C6H14S/c1-2-3-4-5-6-7/h7H,2-6H2,1H3<br />&diams; InChIKey: PMBXCGGQNSVESQ-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3842,18,,,518
 1314-13-2, ZINC OXIDE, &diams; ZINC OXIDE<br />&diams; FLOWERS OF ZINC<br />&diams; ZINC OXIDE (ZNO)," COLOR OR COLORING ADJUNCT,<br /> NUTRIENT SUPPLEMENT",73.1991,73.2991,,,,,175.3,176.17,177.168,177.226,178.3297,182.8991,,,,,,,,,,,,,,,,,,,,,
 57-55-6, PROPYLENE GLYCOL," &diams; PROPYLENE GLYCOL<br />&diams; 1,2-PROPANEDIOL<br />&diams; 1,2-PROPYLENE GLYCOL<br />&diams; 1,2-DIHYDROXYPROPANE<br />&diams; 2-HYDROXYPROPANOL<br />&diams; PROPANE-1,2-DIOL<br />&diams; ISOPROPYLENE GLYCOL<br />&diams; ALPHA-PROPYLENE GLYCOL<br />&diams; METHYLETHYLENE GLYCOL"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> ANTIMICROBIAL AGENT,<br /> ANTIOXIDANT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> SOLVENT OR VEHICLE",73.3,,,,,,175.3,175.32,176.18,176.21,177.139,177.168,177.242,177.26,177.28,178.33,184.1666,,,,,,,,,,,169.175,2940,3,,,
 52-90-4, L-CYSTEINE," &diams; CYSTEINE, L-<br />&diams; L-CYSTEINE<br />&diams; 2-AMINO-3-MERCAPTOPROPANOIC ACID, (R)-<br />&diams; BETA-MERCAPTOALANINE, L-<br />&diams; ALPHA-AMINO-BETA-MERCAPTOPROPIONIC ACID, L-<br />&diams; ALPHA-AMINO-BETA-MERCAPTOPROPANOIC ACID, L-<br />&diams; ALPHA-AMINO-BETA-THIOLPROPIONIC ACID, L-"," DOUGH STRENGTHENER,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FLOUR TREATING AGENT,<br /> NUTRIENT SUPPLEMENT",,,,,,,172.32,184.1271,,,,,,,,,,,,,,,,,,,,,3263,5,,,1419
 52-89-1, L-CYSTEINE MONOHYDROCHLORIDE," &diams; CYSTEINE, L-, HYDROCHLORIDE<br />&diams; CYSTEINE MONOHYDROCHLORIDE<br />&diams; CYSTEINE, HYDROCHLORIDE, L-<br />&diams; CYSTEINE, L-, MONOHYDROCHLORIDE<br />&diams; L-CYSTEINE, HYDROCHLORIDE<br />&diams; L-CYSTEINE MONOHYDROCHLORIDE"," DOUGH STRENGTHENER,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FLOUR TREATING AGENT,<br /> LEAVENING AGENT,<br /> NUTRIENT SUPPLEMENT",,,,,,,172.32,184.1272,,,,,,,,,,,,,,,,,,,,,,,,,
 57-13-6, UREA, &diams; UREA<br />&diams; CARBAMIDE<br />&diams; CARBAMIMIDIC ACID, FORMULATION AID,,,,,,,175.105,175.3,175.352,176.18,176.32,177.12,177.19,184.1923,,,,,,,,,,,,,,,,,,,
 15707-24-1," 2,3-DIETHYLPYRAZINE"," &diams; 2,3-DIETHYLPYRAZINE<br />&diams; PYRAZINE, 2,3-DIETHYL-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3136,4,25.0,,771
 107-10-8, PROPYLAMINE, &diams; PROPYLAMINE<br />&diams; 1-PROPANAMINE<br />&diams; 1-AMINOPROPANE, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4237,22,,,1580
 110-93-0, 6-METHYL-5-HEPTEN-2-ONE," &diams; METHYL HEPTENONE<br />&diams; 6-METHYL-5-HEPTEN-2-ONE<br />&diams; 5-HEPTEN-2-ONE, 6-METHYL-<br />&diams; 2-METHYL-6-OXO-2-HEPTENE<br />&diams; 6-METHYL-DELTA5-HEPTEN-2-ONE<br />&diams; 2-METHYL-2-HEPTEN-6-ONE<br />&diams; 2-OXO-6-METHYLHEPT-5-ENE", FLAVOR ENHANCER,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2707,3,,,1120
 7558-80-7," SODIUM PHOSPHATE, MONOBASIC"," &diams; SODIUM PHOSPHATE, MONOBASIC<br />&diams; MONOSODIUM PHOSPHATE<br />&diams; MONOSODIUM PHOSPHATE, ANHYDROUS<br />&diams; MONOSODIUM ORTHOPHOSPHATE<br />&diams; MONOSODIUM DIHYDROGEN PHOSPHATE<br />&diams; MONOSODIUM MONOPHOSPHATE<br />&diams; PHOSPHORIC ACID, MONOSODIUM SALT<br />&diams; SODIUM DIHYDROGEN PHOSPHATE, ANHYDROUS<br />&diams; SODIUM BIPHOSPHATE<br />&diams; SODIUM DIHYDROGEN PHOSPHATE<br />&diams; SODIUM ACID PHOSPHATE<br />&diams; SODIUM PHOSPHATE (NAH2PO4)"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> ANTIMICROBIAL AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> HUMECTANT,<br /> LEAVENING AGENT,<br /> PH CONTROL AGENT",73.85,,,,,,172.892,173.31,178.101,182.1778,182.6085,182.6778,182.8778,,,,,,,,,,,,,,," 133.169 ,  133.173 ,  133.179 ,  160.110",,,,,
 1080-12-2, VANILLYLIDENE ACETONE," &diams; VANILLYLIDENE ACETONE<br />&diams; DEHYDROZINGERONE<br />&diams; FERULOYLMETHANE<br />&diams; VANILLALACETONE<br />&diams; VANILLIDENE ACETONE<br />&diams; 3-BUTEN-2-ONE, 4-(4-HYDROXY-3-METHOXYPHENYL)-<br />&diams; 4-(4-HYDROXY-3-METHOXYPHENYL)-3-BUTEN-2-ONE<br />&diams; 4-HYDROXY-3-METHOXYSTYRYL METHYL KETONE<br />&diams; 4-(4-HYDROXY-3-METHOXYPHENYL)BUT-3-EN-2-ONE<br />&diams; 4-HYDROXY-3-METHOXYBENZYLIDENEACETONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3738,13,19.0,,732
 108-88-3, toluene," &diams; METHYLBENZENE<br />&diams; benzene, methyl-<br />&diams; TOLUOL<br />&diams; METHYLBENZOL", SOLVENT OR VEHICLE,,,,,,,172.736,,,,,,,,,,,,,,,,,,,,,,,,,,
 123-75-1, PYRROLIDINE, &diams; PYRROLIDINE<br />&diams; TETRAHYDROPYRROLE<br />&diams; TETRAMETHYLENIMINE<br />&diams; AZACYCLOPENTANE<br />&diams; PROLAMINE<br />&diams; BUTYLENIMINE<br />&diams; AZOLIDINE<br />&diams; PERHYDROPYRROLE, FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3523,10,,,1609
 20702-77-6, NEOHESPERIDIN DIHYDROCHALCONE," &diams; NEOHESPERIDIN DIHYDROCHALCONE<br />&diams; GLUCOPYRANOSIDE, 3,5-DIHYDROXY-4-(3-HYDROXY-4-METHOXYHYDROCINNAMOYL)PHENYL 2-O-(6-DEOXY-ALPHA-L-MANNOPYRANOSYL)-, BETA-D-<br />&diams; NEOHESPERIDIN DHC<br />&diams; NEOHESPERIDIN DC<br />&diams; NHDC<br />&diams; 1-PROPANONE, 1-(4-((2-O-(6-DEOXY-ALPHA-L-MANNOPYRANOSYL)-BETA-D-GLUCOPYRANOSYL)OXY)-2,6-DIHYDROXYPHENYL)-3-(3-HYDROXY-4-METHOXYPHENYL)-<br />&diams; 1-(4-((2-O-(6-DEOXY-ALPHA-L-MANNOPYRANOSYL)-BETA-D-GLUCOPYRANOSYL)OXY)-2,6-DIHYDROXYPHENYL)-3-(3-HYDROXY-4-METHOXYPHENYL)-1-PROPANONE<br />&diams; 3,5-DIHYDROXY-4-(3-HYDROXY-4-METHOXYHYDROCINNAMOYL)PHENYL) 2-O-(6-DEOXY-ALPHA-L-MANNOPYRANOSYL)-BETA-D-GLUCOPYRANOSIDE", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3811," 17, 23",25.0,,
 69444-90-2," N-[2-(3,4-DIMETHOXYPHENYL)ETHYL]-3,4-DIMETHOXYCINNAMIC ACID AMIDE"," &diams; N-(2-(3,4-DIMETHOXYPHENYL)ETHYL-3,4-DIMETHOXYCINNAMIDE<br />&diams; 2-propenamide, 3-(3,4-dimethoxyphenyl)-N-(2-(3,4-dimethoxyphenyl)ethyl)-<br />&diams; 3-(3,4-dimethoxyphenyl)-N-(2-(3,4-dimethoxyphenyl)ethyl)-2-propenamide<br />&diams; N-(2-(3,4-dimethoxyphenyl)ethyl)-3,4-dimethoxycinnamic acid amide<br />&diams; InChI=1S/C21H25NO5/c1-24-17-8-5-15(13-19(17)26-3)7-10-21(23)22-12-11-16-6-9-18(25-2)20(14-16)27-4/h5-10,13-14H,11-12H2,1-4H3,(H,22,23)<br />&diams; InChIKey: OZNUPWACHHUIKC-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4310,23,26.0,,1777
 109-52-4, VALERIC ACID, &diams; VALERIC ACID<br />&diams; PENTANOIC ACID<br />&diams; VALERIANIC ACID<br />&diams; PROPYLACETIC ACID<br />&diams; 1-BUTANECARBOXYLIC ACID, FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,173.315,,,,,,,,,,,,,,,,,,,,,3101,3,,,90
 67-97-0, VITAMIN D-3," &diams; CHOLECALCIFEROL<br />&diams; VITAMIN D3<br />&diams; 9,10-SECO(5Z,7E)-5,7,10(19)-CHOLESTATRIEN-3-OL<br />&diams; 9,10-SECOCHOLESTA-5,7,10(19)-TRIEN-3-OL, (3BETA,5Z,7E)-<br />&diams; 7-DEHYDROCHOLESTEROL, IRRADIATED<br />&diams; IRRADIATED 7-DEHYDROCHOLESTEROL<br />&diams; 9,10-secocholesta-5,7,10(19)-trien-3beta-ol<br />&diams; oleovitamin D3", NUTRIENT SUPPLEMENT,,,,,,,172.38,184.195,,,,,,,,,,,,,,,,,,,,,,,,,
 7779-17-1, CYCLOHEXYL CINNAMATE," &diams; CYCLOHEXYL CINNAMATE<br />&diams; CYCLOHEXYL 3-PHENYLPROPENOATE<br />&diams; CYCLOHEXYL BETA-PHENYLACRYLATE<br />&diams; 2-PROPENOIC ACID, 3-PHENYL-, CYCLOHEXYL ESTER<br />&diams; CYCLOHEXYL 3-PHENYL-2-PROPENOATE<br />&diams; CINNAMIC ACID, CYCLOHEXYL ESTER", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2352,3,25.0,,667
 7727-37-9, NITROGEN, &diams; NITROGEN," ANTIOXIDANT,<br /> FORMULATION AID,<br /> PROPELLANT",,,,,,,177.1615,184.154,,,,,,,,,,,,,,,,,,,," 169.140 , 169.150",,,,,
 5263-87-6, 6-METHOXYQUINOLINE," &diams; 6-METHOXYQUINOLINE<br />&diams; quinoline, 6-methoxy-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4640,24,,,2157
 142-91-6, ISOPROPYL PALMITATE," &diams; ISOPROPYL PALMITATE<br />&diams; 1-METHYLETHYL HEXADECANOATE<br />&diams; ISOPROPYL HEXADECANOATE<br />&diams; HEXADECANOIC ACID, 1-METHYLETHYL ESTER<br />&diams; PALMITIC ACID, ISOPROPYL ESTER",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 72-17-3, SODIUM LACTATE," &diams; SODIUM LACTATE<br />&diams; PROPANOIC ACID, 2-HYDROXY-, MONOSODIUM SALT<br />&diams; MONOSODIUM 2-HYDROXYPROPANOATE<br />&diams; LACTIC ACID, MONOSODIUM SALT<br />&diams; MONOSODIUM LACTATE"," ANTIMICROBIAL AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PH CONTROL AGENT,<br /> WASHING OR SURFACE REMOVAL AGENT",,,,,,,184.1768,,,,,,,,,,,,,,,,,,,,,,,,,,
 112-80-1, OLEIC ACID," &diams; OLEIC ACID<br />&diams; 9-OCTADECENOIC ACID, CIS-<br />&diams; RED OIL<br />&diams; OLEIC ACID, CIS-<br />&diams; WHITE OLEIC ACID<br />&diams; OLEINIC ACID<br />&diams; 9-OCTADECENOIC ACID (9Z)-<br />&diams; DELTA9-CIS-OCTADECENOIC ACID"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> FORMULATION AID,<br /> LUBRICANT OR RELEASE AGENT,<br /> SURFACE-ACTIVE AGENT,<br /> WASHING OR SURFACE REMOVAL AGENT",,,,,,,172.21,172.86,173.315,175.105,176.18,177.12,177.26,182.7,182.9,,,,,,,,,,,,,,2815,3,25.0,,333
 107-87-9, 2-PENTANONE, &diams; METHYL PROPYL KETONE<br />&diams; 2-PENTANONE<br />&diams; PROPYL METHYL KETONE<br />&diams; ETHYL ACETONE," ANTIOXIDANT,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2842,3,25.0,,279
 111-14-8, HEPTANOIC ACID, &diams; HEPTANOIC ACID<br />&diams; HEPTOIC ACID<br />&diams; OENANTHIC ACID<br />&diams; OENANTHYLIC ACID<br />&diams; ENANTHIC ACID<br />&diams; HEPTYLIC ACID, FLAVORING AGENT OR ADJUVANT,,,,,,,173.315,,,,,,,,,,,,,,,,,,,,,,3348," 6, 7",,,96
 60-18-4, L-TYROSINE," &diams; TYROSINE, L-<br />&diams; L-TYROSINE<br />&diams; 2-AMINO-3-(4-HYDROXYPHENYL)PROPANOIC ACID, (S)-<br />&diams; ALPHA-AMINO-P-HYDROXYHYDROCINNAMIC ACID, (-)-<br />&diams; ALPHA-AMINO-4-HYDROXYBENZENEPROPANOIC ACID, (S)-<br />&diams; 4-HYDROXY-L-PHENYLALANINE"," FLAVORING AGENT OR ADJUVANT,<br /> NUTRIENT SUPPLEMENT",,,,,,,172.32,,,,,,,,,,,,,,,,,,,,,,3736,13,,,1434
 89-79-2, ISOPULEGOL," &diams; ISOPULEGOL<br />&diams; P-MENTH-8-EN-3-OL<br />&diams; 1-METHYL-4-ISOPROPENYLCYCLOHEXAN-3-OL<br />&diams; P-8(9)-MENTHEN-3-OL<br />&diams; CYCLOHEXANOL, 5-METHYL-2-(1-METHYLETHENYL)-, (1R-(1ALPHA,2BETA,5ALPHA))-<br />&diams; 5-METHYL-2-(1-METHYLETHENYL)CYCLOHEXANOL, (1R-(1ALPHA,2BETA,5ALPHA))-<br />&diams; P-MENTH-8-EN-3-OL, (1R,3R,4S)-(-)-", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2962,3,25.0,,755
 290-37-9, PYRAZINE," &diams; PYRAZINE<br />&diams; 1,4-DIAZABENZENE<br />&diams; 1,4-DIAZINE<br />&diams; PARADIAZINE<br />&diams; DIAZINE, P-", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4015,20,,,951
 600-18-0, ALPHA-KETOBUTYRIC ACID," &diams; 2-OXOBUTYRIC ACID<br />&diams; ALPHA-KETOBUTYRIC ACID<br />&diams; 2-KETOBUTYRIC ACID<br />&diams; BUTANOIC ACID, 2-OXO-<br />&diams; BUTYRIC ACID, 2-OXO-<br />&diams; ALPHA-OXOBUTYRIC ACID<br />&diams; 2-OXOBUTANOIC ACID<br />&diams; 3-METHYLPYRUVIC ACID"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,3723,13,,,589
 557-34-6, ZINC ACETATE," &diams; ZINC ACETATE<br />&diams; ACETIC ACID, ZINC SALT<br />&diams; ZINC DIACETATE<br />&diams; ZINC(II) ACETATE",,,,,,,,175.105,,,,,,,,,,,,,,,,,,,,,,,,,,
 119-53-9, BENZOIN," &diams; BENZOIN<br />&diams; ALPHA-HYDROXY-ALPHA-PHENYLACETOPHENONE<br />&diams; 2-HYDROXY-2-PHENYLACETOPHENONE<br />&diams; ETHANONE, 2-HYDROXY-1,2-DIPHENYL-<br />&diams; 2-HYDROXY-1,2-DIPHENYLETHANONE<br />&diams; ALPHA-HYDROXYBENZYL PHENYL KETONE"," FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT",73.1,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2132,3,,,836
 7601-54-9," SODIUM PHOSPHATE, TRIBASIC"," &diams; SODIUM PHOSPHATE, TRIBASIC<br />&diams; PHOSPHORIC ACID, TRISODIUM SALT<br />&diams; SODIUM ORTHOPHOSPHATE<br />&diams; SODIUM PHOSPHATE (NA3PO4)<br />&diams; SODIUM ORTHOPHOSPHATE, TRIBASIC<br />&diams; TRISODIUM ORTHOPHOSPHATE"," ANTICAKING AGENT OR FREE-FLOW AGENT,<br /> DRYING AGENT,<br /> EMULSIFIER OR EMULSIFIER SALT,<br /> FORMULATION AID,<br /> HUMECTANT,<br /> NUTRIENT SUPPLEMENT,<br /> PH CONTROL AGENT,<br /> SEQUESTRANT",73.85,,,,,,173.31,178.101,182.1778,182.6778,,,,,,,,,,,,,,,,,," 133.169 ,  133.173 ,  133.179",,,,,
 96-04-8," 2,3-HEPTANEDIONE"," &diams; 2,3-HEPTANEDIONE<br />&diams; ACETYL VALERYL<br />&diams; ACETYL PENTANOYL<br />&diams; VALERYLACETYL", FLAVORING AGENT OR ADJUVANT,,,,,,,172.515,,,,,,,,,,,,,,,,,,,,,,2543,3,25.0,,415
 7632-00-0, SODIUM NITRITE," &diams; SODIUM NITRITE<br />&diams; NITROUS ACID, SODIUM SALT"," ANTIMICROBIAL AGENT,<br /> ANTIOXIDANT,<br /> COLOR OR COLORING ADJUNCT,<br /> FLAVOR ENHANCER,<br /> FLAVORING AGENT OR ADJUVANT,<br /> PROPELLANT",,,,,,,172.17,172.175,172.177,172.82,172.824,175.105,175.3,176.17,176.18,177.121,177.26,178.357,178.391,181.33,,,,,,,,,,,,,
 459-80-3, GERANIC ACID," &diams; GERANIC ACID<br />&diams; 2,6-OCTADIENOIC ACID, 3,7-DIMETHYL-<br />&diams; 3,7-DIMETHYL-2,6-OCTADIENOIC ACID<br />&diams; GERANOIC ACID<br />&diams; InChI=1S/C10H16O2/c1-8(2)5-4-6-9(3)7-10(11)12/h5,7H,4,6H2,1-3H3,(H,11,12)<br />&diams; InChIKey: ZHYZQXUYZJNEHD-UHFFFAOYSA-N", FLAVORING AGENT OR ADJUVANT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4121,22,,,1825
